"id","account_id","name","manufacturer_id","status_id","category_id","installation_count","created_at","updated_at"
1120,46,"NetworkManager-libreswan",NULL,NULL,NULL,1,"2017-12-04 15:13:54","2017-12-04 15:13:54"
1121,46,"NetworkManager-libreswan-gnome",NULL,NULL,NULL,1,"2017-12-04 15:13:54","2017-12-04 15:13:54"
1122,46,"NetworkManager-team",NULL,NULL,NULL,1,"2017-12-04 15:13:54","2017-12-04 15:13:54"
1123,46,"NetworkManager-tui",NULL,NULL,NULL,1,"2017-12-04 15:13:54","2017-12-04 15:13:54"
1124,46,"NetworkManager-wifi",NULL,NULL,NULL,1,"2017-12-04 15:13:54","2017-12-04 15:13:54"
1125,46,"PackageKit",NULL,NULL,NULL,1,"2017-12-04 15:13:54","2017-12-04 15:13:54"
1126,46,"PackageKit-command-not-found",NULL,NULL,NULL,1,"2017-12-04 15:13:54","2017-12-04 15:13:54"
1127,46,"PackageKit-glib",NULL,NULL,NULL,1,"2017-12-04 15:13:54","2017-12-04 15:13:54"
1128,46,"PackageKit-gstreamer-plugin",NULL,NULL,NULL,1,"2017-12-04 15:13:54","2017-12-04 15:13:54"
1129,46,"PackageKit-gtk3-module",NULL,NULL,NULL,1,"2017-12-04 15:13:54","2017-12-04 15:13:54"
1130,46,"PackageKit-yum",NULL,NULL,NULL,1,"2017-12-04 15:13:54","2017-12-04 15:13:54"
1131,46,"SDL",NULL,NULL,NULL,1,"2017-12-04 15:13:54","2017-12-04 15:13:54"
1132,46,"abattis-cantarell-fonts",NULL,NULL,NULL,1,"2017-12-04 15:13:54","2017-12-04 15:13:54"
1133,46,"abrt",NULL,NULL,NULL,1,"2017-12-04 15:13:54","2017-12-04 15:13:54"
1134,46,"abrt-addon-ccpp",NULL,NULL,NULL,1,"2017-12-04 15:13:54","2017-12-04 15:13:54"
1135,46,"abrt-addon-kerneloops",NULL,NULL,NULL,1,"2017-12-04 15:13:54","2017-12-04 15:13:54"
1136,46,"abrt-addon-pstoreoops",NULL,NULL,NULL,1,"2017-12-04 15:13:54","2017-12-04 15:13:54"
1137,46,"abrt-addon-python",NULL,NULL,NULL,1,"2017-12-04 15:13:54","2017-12-04 15:13:54"
1138,46,"abrt-addon-vmcore",NULL,NULL,NULL,1,"2017-12-04 15:13:54","2017-12-04 15:13:54"
1139,46,"abrt-addon-xorg",NULL,NULL,NULL,1,"2017-12-04 15:13:54","2017-12-04 15:13:54"
1140,46,"abrt-cli",NULL,NULL,NULL,1,"2017-12-04 15:13:54","2017-12-04 15:13:54"
1141,46,"abrt-console-notification",NULL,NULL,NULL,1,"2017-12-04 15:13:54","2017-12-04 15:13:54"
1142,46,"abrt-dbus",NULL,NULL,NULL,1,"2017-12-04 15:13:54","2017-12-04 15:13:54"
1143,46,"abrt-desktop",NULL,NULL,NULL,1,"2017-12-04 15:13:54","2017-12-04 15:13:54"
1144,46,"abrt-gui",NULL,NULL,NULL,1,"2017-12-04 15:13:54","2017-12-04 15:13:54"
1145,46,"abrt-gui-libs",NULL,NULL,NULL,1,"2017-12-04 15:13:54","2017-12-04 15:13:54"
1146,46,"abrt-libs",NULL,NULL,NULL,1,"2017-12-04 15:13:54","2017-12-04 15:13:54"
1147,46,"abrt-python",NULL,NULL,NULL,1,"2017-12-04 15:13:54","2017-12-04 15:13:54"
1148,46,"abrt-retrace-client",NULL,NULL,NULL,1,"2017-12-04 15:13:54","2017-12-04 15:13:54"
